"","times","mod","weather","variable","value"
"88",2020-05-27,"Real Data","1","Burgenland",0.315257779518613
"89",2020-05-28,"Real Data","1","Burgenland",0.204785816554448
"90",2020-05-29,"Real Data","1","Burgenland",0.410992830782636
"91",2020-05-30,"Real Data","1","Burgenland",0.297036024721358
"92",2020-05-31,"Real Data","1","Burgenland",0.368719433214803
"93",2020-06-01,"Real Data","1","Burgenland",0.322361394826168
"94",2020-06-02,"Real Data","1","Burgenland",0.314964219837784
"95",2020-06-03,"Real Data","1","Burgenland",0.51997565867979
"96",2020-06-04,"Real Data","1","Burgenland",0.529836250260426
"97",2020-06-05,"Real Data","1","Burgenland",0.380888240772954
"98",2020-06-06,"Real Data","1","Burgenland",0.404190862195552
"99",2020-06-07,"Real Data","1","Burgenland",0.252886368218825
"100",2020-06-08,"Real Data","1","Burgenland",0.296316348085703
"101",2020-06-09,"Real Data","1","Burgenland",0.709190616587647
"102",2020-06-10,"Real Data","1","Burgenland",0.473875337907989
"103",2020-06-11,"Real Data","1","Burgenland",0.379498873485852
"104",2020-06-12,"Real Data","1","Burgenland",0.436721896576098
"105",2020-06-13,"Real Data","1","Burgenland",0.505548376901611
"106",2020-06-14,"Real Data","1","Burgenland",0.436073099330903
"107",2020-06-15,"Real Data","1","Burgenland",0.521408462553355
"108",2020-06-16,"Real Data","1","Burgenland",0.536800626406753
"109",2020-06-17,"Real Data","1","Burgenland",0.374810454531096
"110",2020-06-18,"Real Data","1","Burgenland",0.255277434448085
"111",2020-06-19,"Real Data","1","Burgenland",0.3589218414395
"112",2020-06-20,"Real Data","1","Burgenland",0.364820955714604
"113",2020-06-21,"Real Data","1","Burgenland",0.367541066625323
"114",2020-06-22,"Real Data","1","Burgenland",0.377244018073422
"115",2020-06-23,"Real Data","1","Burgenland",0.36088272938058
"116",2020-06-24,"Real Data","1","Burgenland",0.295132695216823
"117",2020-06-25,"Real Data","1","Burgenland",0.298827816024868
"118",2020-06-26,"Real Data","1","Burgenland",0.316084398516132
"119",2020-06-27,"Real Data","1","Burgenland",0.139696257869336
"120",2020-06-28,"Real Data","1","Burgenland",0.107562113831316
"121",2020-06-29,"Real Data","1","Burgenland",0.227956151874193
"122",2020-06-30,"Real Data","1","Burgenland",0.201019500527509
