"SheetName","tmpCR","tmpHUM","tmpCL","tmpCONST","mod","Fed"
"AT1",0.898692810457516,0.748366013071895,0.720588235294118,0.694444444444444,"mod1","Bur"
"AT1",0.813725490196078,0.792483660130719,0.642156862745098,0.514705882352941,"mod2","Bur"
"AT2",0.893790849673203,0.893790849673203,0.823529411764706,0.844771241830065,"mod1","Kae"
"AT2",0.866013071895425,0.790849673202614,0.697712418300654,0.717320261437909,"mod2","Kae"
"AT3",0.898692810457516,0.887254901960784,0.836601307189543,0.799019607843137,"mod1","Noe"
"AT3",0.859477124183007,0.784313725490196,0.759803921568627,0.67483660130719,"mod2","Noe"
"AT4",0.898692810457516,0.841503267973856,0.830065359477124,0.71078431372549,"mod1","Ooe"
"AT4",0.92156862745098,0.784313725490196,0.815359477124183,0.733660130718954,"mod2","Ooe"
"AT5",0.937908496732026,0.836601307189543,0.859477124183006,0.820261437908497,"mod1","Sbg"
"AT5",0.821895424836601,0.676470588235294,0.808823529411765,0.650326797385621,"mod2","Sbg"
"AT6",0.852941176470588,0.816993464052288,0.816993464052288,0.665032679738562,"mod1","Stm"
"AT6",0.870915032679739,0.63562091503268,0.777777777777778,0.527777777777778,"mod2","Stm"
"AT7",0.898692810457516,0.898692810457516,0.887254901960784,0.851307189542484,"mod1","Tir"
"AT7",0.834967320261438,0.707516339869281,0.709150326797386,0.563725490196078,"mod2","Tir"
"AT8",0.898692810457516,0.841503267973856,0.841503267973856,0.803921568627451,"mod1","Vor"
"AT8",0.955882352941176,0.898692810457516,0.898692810457516,0.890522875816993,"mod2","Vor"
"AT9",0.898692810457516,0.887254901960784,0.856209150326797,0.82843137254902,"mod1","Vie"
"AT9",0.82516339869281,0.784313725490196,0.705882352941177,0.656862745098039,"mod2","Vie"
